id,objet,variable,valeur,operateur,date,annotations,fichier,methode,groupe_variables,heure,commentaire,code,type,parent,surface,cepage,clone_cepage,portegreffe,clone_portegreffe,date_debut,date_fin,densite_plantation,orientation,entre_rangs,entre_ceps,mode_conduite,systeme_taille,nb_rangs,nb_souches,piquets,geometry,description,surgreffage,rang,position_rang,groupeAccess,nom,region,type_sol,cadastre,profondeur_sol,adresse,label,systeme_irrigation,date_install_si
92796,85-RUN-3161-22-4-N-R4B3,Flowering,1,emmanuelle.zumstein,2016-05-30,\N,\N,Observation,Flowering,\N,NA,85-RUN-3161-22-4-N-R4B3,sous-parcelle,85-RUN-3161-22-4-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
92797,85-RUN-3180-16-8-N-R5B1,Flowering,0.1,emmanuelle.zumstein,2016-05-30,\N,\N,Observation,Flowering,\N,NA,85-RUN-3180-16-8-N-R5B1,sous-parcelle,85-RUN-3180-16-8-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
92798,85-RUN-3294-57-N-R10B7,Flowering,8,emmanuelle.zumstein,2016-05-30,\N,\N,Observation,Flowering,\N,NA,85-RUN-3294-57-N-R10B7,sous-parcelle,85-RUN-3294-57-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
92799,85-RUN-3322-178-N-R10B3,Flowering,0.1,emmanuelle.zumstein,2016-05-30,\N,\N,Observation,Flowering,\N,NA,85-RUN-3322-178-N-R10B3,sous-parcelle,85-RUN-3322-178-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
92800,85-RUN-3322-226-N-R11B2,Flowering,0,emmanuelle.zumstein,2016-05-30,\N,\N,Observation,Flowering,\N,NA,85-RUN-3322-226-N-R11B2,sous-parcelle,85-RUN-3322-226-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
92801,85-RUN-3322-285-N-R11B3,Flowering,0,emmanuelle.zumstein,2016-05-30,\N,\N,Observation,Flowering,\N,NA,85-RUN-3322-285-N-R11B3,sous-parcelle,85-RUN-3322-285-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
92802,85-RUN-3322-339-N-R10B2,Flowering,0,emmanuelle.zumstein,2016-05-30,\N,\N,Observation,Flowering,\N,NA,85-RUN-3322-339-N-R10B2,sous-parcelle,85-RUN-3322-339-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
92803,85-RUN-3322-343-N-R11B4,Flowering,0.1,emmanuelle.zumstein,2016-05-30,\N,\N,Observation,Flowering,\N,NA,85-RUN-3322-343-N-R11B4,sous-parcelle,85-RUN-3322-343-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
92804,85-RUN-3328-168-N-R10B6,Flowering,5,emmanuelle.zumstein,2016-05-30,\N,\N,Observation,Flowering,\N,NA,85-RUN-3328-168-N-R10B6,sous-parcelle,85-RUN-3328-168-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
92805,85-RUN-3328-177-N-R10B4,Flowering,0.1,emmanuelle.zumstein,2016-05-30,\N,\N,Observation,Flowering,\N,NA,85-RUN-3328-177-N-R10B4,sous-parcelle,85-RUN-3328-177-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
92806,85-RUN-3328-306-N-R10B5,Flowering,5,emmanuelle.zumstein,2016-05-30,\N,\N,Observation,Flowering,\N,NA,85-RUN-3328-306-N-R10B5,sous-parcelle,85-RUN-3328-306-N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
92807,85-RUN-3347-320-B-R12B3,Flowering,0.1,emmanuelle.zumstein,2016-05-30,\N,\N,Observation,Flowering,\N,NA,85-RUN-3347-320-B-R12B3,sous-parcelle,85-RUN-3347-320-B,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
92808,85-RUN-3347-330-B-R12B5,Flowering,5,emmanuelle.zumstein,2016-05-30,\N,\N,Observation,Flowering,\N,NA,85-RUN-3347-330-B-R12B5,sous-parcelle,85-RUN-3347-330-B,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
